"","hexID","decID","l4hex","l4dec","idx","recapCount","firstObserved","lastObserved","x","HEX.Tag.ID","Species","Length.Inches","Client"
"191","3DD.003E058121","989.001040548129","8121","8129",146,2,2022-04-27 13:53:00,2022-05-05 01:53:00,"Image_Data/APP-4-27-22.csv, Mobile_Data/05_05_2022_floating_array.csv","3DD.003E058121","Brown",16.5,NA
"201","3DD.003E05812B","989.001040548139","812B","8139",166,2,2022-04-27 11:00:00,2022-04-27 14:33:00,"Image_Data/APP-4-27-22.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E05812B","Brown Trout",15.3,NA
"232","3DD.003E1BF1B5","989.001042018741","F1B5","8741",4,2,2022-04-27 16:21:00,2022-10-06 11:00:00,"Image_Data/Brett_SC_Fish_Tagging_4_27_22.csv, Reader_Data/10-6-22-Reader.csv","3DD.003E1BF1B5","Tiger Trout",14,NA
"372","3DD.003E1F0DF3","989.001042222579","0DF3","2579",512,2,2022-09-05 11:00:00,2022-09-07 11:00:00,"Reader_Data/9-5-22-Reader.csv, Reader_Data/9-7-22-Reader.csv","3DD.003E1F0DF3","Rainbow",6,"de Reus"
"398","3DD.003E1F0E0D","989.001042222605","0E0D","2605",500,2,2022-09-02 14:32:57,2022-09-06 11:00:00,"Reader_Data/9-6-22-Reader.csv, Reader_Data/9-2-22-Reader.csv","3DD.003E1F0E0D","Brown",23,"Loomis"
"414","3DD.003E1F0E1E","989.001042222622","0E1E","2622",495,2,2022-09-01 11:00:00,2022-09-02 09:28:32,"Reader_Data/9-2-22-Reader.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E1F0E1E","Rainbow",8,"Mobile"
"444","3DD.003E1F0E4B","989.001042222667","0E4B","2667",387,2,2022-07-29 11:00:00,2022-09-13 11:00:00,"Reader_Data/7-29-22-Brett-Reader.csv, Reader_Data/9-13-22-Brett-Reader.csv","3DD.003E1F0E4B","Brown",15,"Ransohoff"
"447","3DD.003E1F0E4F","989.001042222671","0E4F","2671",493,2,2022-09-02 11:00:00,2022-10-06 11:00:00,"Reader_Data/9-2-22-Brett-Reader.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E1F0E4F","Rainbow",6,"Ransohoff"
"475","3DD.003E1F0E77","989.001042222711","0E77","2711",378,2,2022-07-28 11:00:00,2022-08-31 11:00:00,"Reader_Data/Fish-Recapture-Beta-Working.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E1F0E77","Rainbow",15,"Ransohoff"
"518","3DD.003E281A78","989.001042815608","1A78","5608",403,2,2022-07-05 11:00:00,2022-09-11 11:00:00,"Reader_Data/7-5-22-Reader-brett.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E281A78","Brown",13,"Firtel"
"527","3DD.003E281A82","989.001042815618","1A82","5618",280,2,2022-06-28 10:45:52,2022-09-19 11:00:00,"Reader_Data/6-28-22-Reader.csv, Reader_Data/9-19-22-mobile.csv","3DD.003E281A82","Rainbow",6,"mobile"
"534","3DD.003E281A89","989.001042815625","1A89","5625",275,2,2022-06-28 10:08:33,2022-09-19 11:00:00,"Reader_Data/6-28-22-Reader.csv, Reader_Data/9-19-22-mobile.csv","3DD.003E281A89","Brown",4,"Mobile"
"550","3DD.003E281A99","989.001042815641","1A99","5641",265,2,2022-06-17 14:23:25,2022-06-25 11:00:00,"Reader_Data/6-17-22-Reader.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E281A99","Rainbow",14,""
"580","3DD.003E281AB8","989.001042815672","1AB8","5672",278,2,2022-06-28 10:29:21,2022-09-19 11:00:00,"Reader_Data/9-19-22-mobile.csv, Reader_Data/6-28-22-Reader.csv","3DD.003E281AB8","Rainbow",4,"Mobile"
"584","3DD.003E281ABC","989.001042815676","1ABC","5676",268,2,2022-06-22 11:10:19,2022-09-07 11:00:00,"Reader_Data/9-7-22-Reader.csv, Reader_Data/6-22-22-Reader.csv","3DD.003E281ABC","Rainbow",5,"Loomis"
"630","3DD.003E2974B2",NA,"74B2",NA,658,2,2022-07-22 11:00:00,2022-08-04 11:00:00,"Reader_Data/Fish-Recapture-Beta-Working.csv, Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E2974B2","Rainbow",17,"Ames"
"637","3DD.003E2974B9","989.001042904249","74B9","4249",367,2,2022-07-22 11:00:00,2022-07-25 11:00:00,"Reader_Data/7-25-22-Reader.csv, Reader_Data/7-22-22-Reader.csv","3DD.003E2974B9","Rainbow",17,"Ames"
"652","3DD.003E2974C9",NA,"74C9",NA,645,2,2022-07-16 11:00:00,2022-07-21 11:00:00,"Reader_Data/Fish-Recapture-Beta-Working.csv, Reader_Data/7-16-22-Reader.csv","3DD.003E2974C9","Rainbow",10,"Ransohoff"
"1","0E5A",NA,"0E5A",NA,661,1,2022-07-25 11:00:00,2022-07-25 11:00:00,"Reader_Data/7-25-22-Reader-brett.csv","0E5A","Brown",17,"Ransohoff"
"5","3DD.003E057ED5","989.001040547541","7ED5","7541",44,1,2022-04-27 11:38:00,2022-04-27 11:38:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057ED5",NA,NA,NA
"6","3DD.003E057ED6","989.001040547542","7ED6","7542",41,1,2022-04-27 11:37:00,2022-04-27 11:37:00,"Image_Data/APP-4-27-22.csv","3DD.003E057ED6",NA,NA,NA
"7","3DD.003E057ED7","989.001040547543","7ED7","7543",32,1,2022-04-27 11:04:00,2022-04-27 11:04:00,"Image_Data/APP-4-27-22.csv","3DD.003E057ED7",NA,NA,NA
"8","3DD.003E057ED8","989.001040547544","7ED8","7544",16,1,2022-04-27 10:54:00,2022-04-27 10:54:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057ED8",NA,NA,NA
"9","3DD.003E057ED9","989.001040547545","7ED9","7545",63,1,2022-04-27 12:16:00,2022-04-27 12:16:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057ED9",NA,NA,NA
"10","3DD.003E057EDA","989.001040547546","7EDA","7546",33,1,2022-04-27 11:04:00,2022-04-27 11:04:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EDA",NA,NA,NA
"11","3DD.003E057EDB","989.001040547547","7EDB","7547",30,1,2022-04-27 11:03:00,2022-04-27 11:03:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EDB",NA,NA,NA
"12","3DD.003E057EDC","989.001040547548","7EDC","7548",95,1,2022-04-27 12:34:00,2022-04-27 12:34:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EDC",NA,NA,NA
"15","3DD.003E057EDF","989.001040547551","7EDF","7551",50,1,2022-04-27 11:42:00,2022-04-27 11:42:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EDF",NA,NA,NA
"16","3DD.003E057EE0","989.001040547552","7EE0","7552",67,1,2022-04-27 12:18:00,2022-04-27 12:18:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EE0",NA,NA,NA
"17","3DD.003E057EE1","989.001040547553","7EE1","7553",22,1,2022-04-27 10:58:00,2022-04-27 10:58:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057EE1",NA,NA,NA
"18","3DD.003E057EE2","989.001040547554","7EE2","7554",58,1,2022-04-27 12:12:00,2022-04-27 12:12:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057EE2",NA,NA,NA
"19","3DD.003E057EE3","989.001040547555","7EE3","7555",71,1,2022-04-27 12:21:00,2022-04-27 12:21:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EE3",NA,NA,NA
"20","3DD.003E057EE4","989.001040547556","7EE4","7556",46,1,2022-04-27 11:39:00,2022-04-27 11:39:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EE4",NA,NA,NA
"21","3DD.003E057EE5","989.001040547557","7EE5","7557",68,1,2022-04-27 12:18:00,2022-04-27 12:18:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EE5",NA,NA,NA
"22","3DD.003E057EE6","989.001040547558","7EE6","7558",59,1,2022-04-27 12:14:00,2022-04-27 12:14:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EE6",NA,NA,NA
"23","3DD.003E057EE7","989.001040547559","7EE7","7559",42,1,2022-04-27 11:37:00,2022-04-27 11:37:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057EE7",NA,NA,NA
"25","3DD.003E057EE9","989.001040547561","7EE9","7561",69,1,2022-04-27 12:19:00,2022-04-27 12:19:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EE9",NA,NA,NA
"26","3DD.003E057EEA","989.001040547562","7EEA","7562",48,1,2022-04-27 11:41:00,2022-04-27 11:41:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057EEA",NA,NA,NA
"27","3DD.003E057EEB","989.001040547563","7EEB","7563",31,1,2022-04-27 11:03:00,2022-04-27 11:03:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EEB",NA,NA,NA
"29","3DD.003E057EED","989.001040547565","7EED","7565",66,1,2022-04-27 12:17:00,2022-04-27 12:17:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EED",NA,NA,NA
"31","3DD.003E057EEF","989.001040547567","7EEF","7567",57,1,2022-04-27 11:47:00,2022-04-27 11:47:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EEF",NA,NA,NA
"32","3DD.003E057EF0","989.001040547568","7EF0","7568",92,1,2022-04-27 12:33:00,2022-04-27 12:33:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EF0",NA,NA,NA
"34","3DD.003E057EF3","989.001040547571","7EF3","7571",91,1,2022-04-27 12:32:00,2022-04-27 12:32:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EF3",NA,NA,NA
"35","3DD.003E057EF4","989.001040547572","7EF4","7572",87,1,2022-04-27 12:31:00,2022-04-27 12:31:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EF4",NA,NA,NA
"37","3DD.003E057EF6","989.001040547574","7EF6","7574",38,1,2022-04-27 11:35:00,2022-04-27 11:35:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EF6",NA,NA,NA
"38","3DD.003E057EF7","989.001040547575","7EF7","7575",70,1,2022-04-27 12:19:00,2022-04-27 12:19:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EF7",NA,NA,NA
"39","3DD.003E057EF8","989.001040547576","7EF8","7576",39,1,2022-04-27 11:36:00,2022-04-27 11:36:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057EF8",NA,NA,NA
"40","3DD.003E057EF9","989.001040547577","7EF9","7577",21,1,2022-04-27 10:57:00,2022-04-27 10:57:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EF9",NA,NA,NA
"42","3DD.003E057EFB","989.001040547579","7EFB","7579",80,1,2022-04-27 12:26:00,2022-04-27 12:26:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EFB",NA,NA,NA
"43","3DD.003E057EFD","989.001040547581","7EFD","7581",73,1,2022-04-27 12:22:00,2022-04-27 12:22:00,"Image_Data/APP-4-27-22.csv","3DD.003E057EFD",NA,NA,NA
"44","3DD.003E057EFE","989.001040547582","7EFE","7582",79,1,2022-04-27 12:25:00,2022-04-27 12:25:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057EFE",NA,NA,NA
"46","3DD.003E057F00","989.001040547584","7F00","7584",13,1,2022-04-27 10:53:00,2022-04-27 10:53:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F00",NA,NA,NA
"49","3DD.003E057F03","989.001040547587","7F03","7587",84,1,2022-04-27 12:27:00,2022-04-27 12:27:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F03",NA,NA,NA
"50","3DD.003E057F04","989.001040547588","7F04","7588",64,1,2022-04-27 12:23:00,2022-04-27 12:23:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F04",NA,NA,NA
"53","3DD.003E057F07","989.001040547591","7F07","7591",60,1,2022-04-27 12:14:00,2022-04-27 12:14:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F07",NA,NA,NA
"54","3DD.003E057F08","989.001040547592","7F08","7592",47,1,2022-04-27 11:40:00,2022-04-27 11:40:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F08",NA,NA,NA
"55","3DD.003E057F09","989.001040547593","7F09","7593",75,1,2022-04-27 12:23:00,2022-04-27 12:23:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F09",NA,NA,NA
"57","3DD.003E057F0B","989.001040547595","7F0B","7595",17,1,2022-04-27 10:55:00,2022-04-27 10:55:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F0B",NA,NA,NA
"58","3DD.003E057F0C","989.001040547596","7F0C","7596",65,1,2022-04-27 11:02:00,2022-04-27 11:02:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F0C",NA,NA,NA
"59","3DD.003E057F0D","989.001040547597","7F0D","7597",53,1,2022-04-27 11:44:00,2022-04-27 11:44:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F0D",NA,NA,NA
"60","3DD.003E057F0E","989.001040547598","7F0E","7598",77,1,2022-04-27 12:24:00,2022-04-27 12:24:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F0E",NA,NA,NA
"63","3DD.003E057F11","989.001040547601","7F11","7601",27,1,2022-04-27 11:01:00,2022-04-27 11:01:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F11",NA,NA,NA
"64","3DD.003E057F12","989.001040547602","7F12","7602",45,1,2022-04-27 11:39:00,2022-04-27 11:39:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F12",NA,NA,NA
"65","3DD.003E057F13","989.001040547603","7F13","7603",35,1,2022-04-27 11:06:00,2022-04-27 11:06:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F13",NA,NA,NA
"66","3DD.003E057F14","989.001040547604","7F14","7604",11,1,2022-04-27 10:51:00,2022-04-27 10:51:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F14",NA,NA,NA
"67","3DD.003E057F15","989.001040547605","7F15","7605",56,1,2022-04-27 11:46:00,2022-04-27 11:46:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F15",NA,NA,NA
"68","3DD.003E057F16","989.001040547606","7F16","7606",24,1,2022-04-27 10:59:00,2022-04-27 10:59:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F16",NA,NA,NA
"69","3DD.003E057F17","989.001040547607","7F17","7607",25,1,2022-04-27 10:59:00,2022-04-27 10:59:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F17",NA,NA,NA
"70","3DD.003E057F18","989.001040547608","7F18","7608",15,1,2022-04-27 10:53:00,2022-04-27 10:53:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F18",NA,NA,NA
"71","3DD.003E057F19","989.001040547609","7F19","7609",37,1,2022-04-27 11:35:00,2022-04-27 11:35:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F19",NA,NA,NA
"72","3DD.003E057F1A","989.00104054761","7F1A","4761",527,1,2022-04-27 11:00:00,2022-04-27 11:00:00,"Reader_Data/Fish-Recapture-Beta-Working.csv","3DD.003E057F1A","Brown Trout",19,NA
"73","3DD.003E057F1B","989.001040547611","7F1B","7611",86,1,2022-04-27 12:28:00,2022-04-27 12:28:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F1B",NA,NA,NA
"74","3DD.003E057F1C","989.001040547612","7F1C","7612",83,1,2022-04-27 12:27:00,2022-04-27 12:27:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F1C",NA,NA,NA
"75","3DD.003E057F1D","989.001040547613","7F1D","7613",18,1,2022-04-27 10:55:00,2022-04-27 10:55:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F1D",NA,NA,NA
"76","3DD.003E057F1E","989.001040547614","7F1E","7614",82,1,2022-04-27 12:26:00,2022-04-27 12:26:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F1E",NA,NA,NA
"77","3DD.003E057F1F","989.001040547615","7F1F","7615",55,1,2022-04-27 11:45:00,2022-04-27 11:45:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F1F",NA,NA,NA
"78","3DD.003E057F20","989.001040547616","7F20","7616",10,1,2022-04-27 10:50:00,2022-04-27 10:50:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F20",NA,NA,NA
"79","3DD.003E057F21","989.001040547617","7F21","7617",61,1,2022-04-27 12:15:00,2022-04-27 12:15:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F21",NA,NA,NA
"81","3DD.003E057F23","989.001040547619","7F23","7619",76,1,2022-04-27 12:24:00,2022-04-27 12:24:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F23",NA,NA,NA
"82","3DD.003E057F25","989.001040547621","7F25","7621",43,1,2022-04-27 11:38:00,2022-04-27 11:38:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F25",NA,NA,NA
"83","3DD.003E057F26","989.001040547622","7F26","7622",49,1,2022-04-27 11:42:00,2022-04-27 11:42:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F26",NA,NA,NA
"84","3DD.003E057F27","989.001040547623","7F27","7623",93,1,2022-04-27 12:33:00,2022-04-27 12:33:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F27",NA,NA,NA
"85","3DD.003E057F28","989.001040547624","7F28","7624",34,1,2022-04-27 11:05:00,2022-04-27 11:05:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F28",NA,NA,NA
"86","3DD.003E057F29","989.001040547625","7F29","7625",89,1,2022-04-27 12:31:00,2022-04-27 12:31:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F29",NA,NA,NA
"87","3DD.003E057F2A","989.001040547626","7F2A","7626",19,1,2022-04-27 10:56:00,2022-04-27 10:56:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F2A",NA,NA,NA
"88","3DD.003E057F2B","989.001040547627","7F2B","7627",88,1,2022-04-27 12:31:00,2022-04-27 12:31:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F2B",NA,NA,NA
"89","3DD.003E057F2C","989.001040547628","7F2C","7628",94,1,2022-04-27 12:33:00,2022-04-27 12:33:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F2C",NA,NA,NA
"90","3DD.003E057F2D","989.001040547629","7F2D","7629",52,1,2022-04-27 11:44:00,2022-04-27 11:44:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F2D",NA,NA,NA
"92","3DD.003E057F2F","989.001040547631","7F2F","7631",29,1,2022-04-27 11:02:00,2022-04-27 11:02:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F2F",NA,NA,NA
"93","3DD.003E057F30","989.001040547632","7F30","7632",78,1,2022-04-27 12:25:00,2022-04-27 12:25:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F30",NA,NA,NA
"94","3DD.003E057F31","989.001040547633","7F31","7633",81,1,2022-04-27 12:26:00,2022-04-27 12:26:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E057F31",NA,NA,NA
"95","3DD.003E057F32","989.001040547634","7F32","7634",90,1,2022-04-27 12:32:00,2022-04-27 12:32:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F32",NA,NA,NA
"97","3DD.003E057F34","989.001040547636","7F34","7636",26,1,2022-04-27 11:00:00,2022-04-27 11:00:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F34",NA,NA,NA
"98","3DD.003E057F35","989.001040547637","7F35","7637",85,1,2022-04-27 12:28:00,2022-04-27 12:28:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F35",NA,NA,NA
"99","3DD.003E057F36","989.001040547638","7F36","7638",36,1,2022-04-27 11:09:00,2022-04-27 11:09:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E057F36",NA,NA,NA
"100","3DD.003E057F37","989.001040547639","7F37","7639",40,1,2022-04-27 11:36:00,2022-04-27 11:36:00,"Image_Data/APP-4-27-22.csv","3DD.003E057F37",NA,NA,NA
"105","3DD.003E0580C9","989.001040548041","80C9","8041",133,1,2022-04-27 13:46:00,2022-04-27 13:46:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580C9",NA,NA,NA
"106","3DD.003E0580CA","989.001040548042","80CA","8042",122,1,2022-04-27 13:41:00,2022-04-27 13:41:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580CA",NA,NA,NA
"107","3DD.003E0580CB","989.001040548043","80CB","8043",127,1,2022-04-27 13:43:00,2022-04-27 13:43:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580CB",NA,NA,NA
"108","3DD.003E0580CC","989.001040548044","80CC","8044",158,1,2022-04-27 14:29:00,2022-04-27 14:29:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580CC",NA,NA,NA
"109","3DD.003E0580CD","989.001040548045","80CD","8045",125,1,2022-04-27 13:42:00,2022-04-27 13:42:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580CD",NA,NA,NA
"110","3DD.003E0580CE","989.001040548046","80CE","8046",107,1,2022-04-27 12:42:00,2022-04-27 12:42:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580CE",NA,NA,NA
"111","3DD.003E0580CF","989.001040548047","80CF","8047",104,1,2022-04-27 12:40:00,2022-04-27 12:40:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580CF",NA,NA,NA
"112","3DD.003E0580D0","989.001040548048","80D0","8048",153,1,2022-04-27 13:57:00,2022-04-27 13:57:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580D0",NA,NA,NA
"113","3DD.003E0580D1","989.001040548049","80D1","8049",117,1,2022-04-27 13:39:00,2022-04-27 13:39:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580D1",NA,NA,NA
"116","3DD.003E0580D4","989.001040548052","80D4","8052",129,1,2022-04-27 13:44:00,2022-04-27 13:44:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580D4",NA,NA,NA
"117","3DD.003E0580D5","989.001040548053","80D5","8053",159,1,2022-04-27 14:27:00,2022-04-27 14:27:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580D5",NA,NA,NA
"118","3DD.003E0580D6","989.001040548054","80D6","8054",126,1,2022-04-27 13:43:00,2022-04-27 13:43:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580D6",NA,NA,NA
"119","3DD.003E0580D7","989.001040548055","80D7","8055",98,1,2022-04-27 12:36:00,2022-04-27 12:36:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580D7",NA,NA,NA
"120","3DD.003E0580D8","989.001040548056","80D8","8056",143,1,2022-04-27 13:51:00,2022-04-27 13:51:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580D8",NA,NA,NA
"121","3DD.003E0580D9","989.001040548057","80D9","8057",113,1,2022-04-27 12:44:00,2022-04-27 12:44:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580D9",NA,NA,NA
"122","3DD.003E0580DA","989.001040548058","80DA","8058",160,1,2022-04-27 14:28:00,2022-04-27 14:28:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580DA",NA,NA,NA
"123","3DD.003E0580DB","989.001040548059","80DB","8059",108,1,2022-04-27 12:43:00,2022-04-27 12:43:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580DB",NA,NA,NA
"125","3DD.003E0580DD","989.001040548061","80DD","8061",141,1,2022-04-27 13:50:00,2022-04-27 13:50:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580DD",NA,NA,NA
"126","3DD.003E0580DE","989.001040548062","80DE","8062",124,1,2022-04-27 13:41:00,2022-04-27 13:41:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580DE",NA,NA,NA
"127","3DD.003E0580DF","989.001040548063","80DF","8063",169,1,2022-04-27 14:36:00,2022-04-27 14:36:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580DF",NA,NA,NA
"128","3DD.003E0580E0","989.001040548064","80E0","8064",128,1,2022-04-27 13:44:00,2022-04-27 13:44:00,"Image_Data/TAT-4-27-22-Full.csv","3DD.003E0580E0",NA,NA,NA
"129","3DD.003E0580E1","989.001040548065","80E1","8065",114,1,2022-04-27 12:45:00,2022-04-27 12:45:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580E1",NA,NA,NA
"130","3DD.003E0580E2","989.001040548066","80E2","8066",176,1,2022-04-27 14:42:00,2022-04-27 14:42:00,"Image_Data/APP-4-27-22.csv","3DD.003E0580E2",NA,NA,NA
"131","3DD.003E0580E3","989.001040548067","80E3","8067",180,1,2022-04-27 14:48:00,2022-04-27 14:48:00,"Mobile_Data/Beta_4-27-22-working.csv","3DD.003E0580E3",NA,NA,NA
